hashtag,username,timestamp,content,likes,retweets,mentions,hashtags
#nifty50,Mint,2025-08-04T03:46:25.000Z,"Mint @livemint · 1m Replying to  @livemint #MintMarkets | The Sensex climbed 165.92 points to 80,765.83, while the Nifty rose 30.70 points to 24,596.05.  https://livemint.com/market  #StockMarkets #Sensex #Nifty #Nifty50 59",0,0,"@livemint, @livemint","#MintMarkets, #StockMarkets, #Sensex, #Nifty, #Nifty50"
#nifty50,Anand Mahajan,2025-08-04T03:45:44.000Z,Anand Mahajan @TheDeltaEdge · 2m Back in Action from Today...  Will Wait for Good Opportunity For Trade Nifty Look  Bearish to Me But Market always Surprises   To much Political Events Happening.....   #nifty #nifty50 #OptionsTrading #optionselling 5,0,0,@TheDeltaEdge,"#nifty, #nifty50, #OptionsTrading, #optionselling"
#nifty50,The Chartist CA,2025-08-04T03:45:09.000Z,The Chartist CA @the_chartist_ca · 2m #stockmarketcrash #StockMarketIndia #StocksToWatch #BREAKOUTSTOCKS #Breakout #Breakouts #niftycrash #NiftyBank #NIFTYIT #StocksInFocus #StocksToTrade #Share #sharemarket #nifty50  Good Morning 6,0,0,@the_chartist_ca,"#stockmarketcrash, #StockMarketIndia, #StocksToWatch, #BREAKOUTSTOCKS, #Breakout, #Breakouts, #niftycrash, #NiftyBank, #NIFTYIT, #StocksInFocus, #StocksToTrade, #Share, #sharemarket, #nifty50"
#nifty50,Trading With Fibonacci,2025-08-04T03:43:54.000Z,Trading With Fibonacci @BankniftyR · 3m LIVE TRADING NIFTY & SENSEX 4th AUGUST | #nifty50 #banknifty #livetradi... https://youtube.com/live/zIITOL3YE6A?si=mfKF4gqMjXAHJMHD… via  @YouTube youtube.com LIVE TRADING NIFTY & SENSEX 4th AUGUST | #nifty50 #banknifty... LIVE TRADING NIFTY & SENSEX 4th AUGUST | #nifty50 #banknifty #livetrading #tradingwithfibonacciश्री शिवाय नमस्तुभ्यं |What's app 8860493964Join Telegram f... 22,0,0,"@BankniftyR, @YouTube","#nifty50, #banknifty, #livetradi, #nifty50, #banknifty, #nifty50, #banknifty, #livetrading, #tradingwithfibonacciश"
#nifty50,TwV,2025-08-04T03:43:39.000Z,TwV @vasusharma0212 · 4m Opning of #Nifty50 at 24596  To immediate support to yesterdays closing leloo 565 but 500 is a massive support n upside 24628 frst resistance & 24700  is difficult mark kro bczz trend is not strong anyside yett  #OptionsTrading #StockMarket 10,0,0,@vasusharma0212,"#Nifty50, #OptionsTrading, #StockMarket"
#nifty50,R Senthilrajan,2025-08-04T03:43:33.000Z,R Senthilrajan @rsenrajan · 4m #StockMarketIndia  #StockmarketsIndia  #Stockmarketupdate  #Nifty  #Nifty50  #StockMarketNews #CuesForToday 23,0,0,@rsenrajan,"#StockMarketIndia, #StockmarketsIndia, #Stockmarketupdate, #Nifty, #Nifty50, #StockMarketNews, #CuesForToday"
#nifty50,R Senthilrajan,2025-08-04T03:43:11.000Z,"R Senthilrajan @rsenrajan · 4m #StockMarketIndia  #StockmarketsIndia  #Stockmarketupdate  #Nifty  #Nifty50  #StockMarketNews #CuesForToday Quote Mangalam Maloo @blitzkreigm · 31m CUES FOR TODAY - Gift Nifty +80 Pts at open - Wall St closed lower on earnings & weak jobs report - US Fed Governor Adriana Kugler resigns - FIIs increase short exposure further, sell 2X Index Calls vs Puts - Tariff Uncertainty continues  WALL ST LAST WEEK - Dow -2.9% - S&P -2.4% Show more 32",0,0,"@rsenrajan, @blitzkreigm","#StockMarketIndia, #StockmarketsIndia, #Stockmarketupdate, #Nifty, #Nifty50, #StockMarketNews, #CuesForToday"
#nifty50,Artharutu,2025-08-04T03:42:45.000Z,"Artharutu @ArtharutuFS · 5m Replying to  @ArtharutuFS Watch these setups   HINDUNILVR  ITC Breakout  MARUTI; Also Check out  SUZLON, TRENT, TVSMOTORS  Sniper trades only! #Intraday #Scalping #Nifty50 1 16",0,0,"@ArtharutuFS, @ArtharutuFS","#Intraday, #Scalping, #Nifty50"
#nifty50,News Contributor,2025-08-04T03:42:29.000Z,News Contributor @newscontributor · 5m F&O SETUP  #INDIAVIX CURRENT : 11.98 PREVIOUS DAY : 11.3  PCR CHANGES PREVIOUS DAY.      CURRENT NIFTY                0.90                0.57(Comfortable) BANK NIFTY   0.87                0.86(Comfortable) --------------------  #Nifty50 #NSE 1 24,0,0,@newscontributor,"#INDIAVIX, #Nifty50, #NSE"
#nifty50,Mr.BearGangWala,2025-08-04T03:41:45.000Z,"Mr.BearGangWala @Manish__Verma11 · 6m  Nifty 50 – Monday Playbook  Key zones define the game today:   Resistance: 24,650–24,710  Support: 24,471–24,511  No chasing moves. We sell fear, not hope. Let the market run, we’ll make the premium bleed.   #BearGangWala #Nifty50 #OptionSelling #StockMarket 1 1 43",0,0,@Manish__Verma11,"#BearGangWala, #Nifty50, #OptionSelling, #StockMarket"
#nifty50,BouncingBullsMarketBuzz,2025-08-04T03:41:40.000Z,"BouncingBullsMarketBuzz @ProfitplusInv · 6m Positive Opening! Indian stocks enter into crucial week after their worst 5-week run since 2023 Global tariff,strong $, FII outflow & weak earnings hit sentiment All eyes on RBI policy &US trade talks for the next big move  #trading #StockMarketIndia #stockmarketcrash #Nifty50 1 25",0,0,@ProfitplusInv,"#trading, #StockMarketIndia, #stockmarketcrash, #Nifty50"
